model of geometry	distance function	hdt_reg_mse	edt_reg_mse	max_depth	n_dim	seed	noise_std	n_samples	n_classes
poincare	poincare		189111.3276636007	5	16	42	0.5	1000	10
hyperboloid	euclidean		8.253872894055948e+30	5	16	42	0.5	1000	10
hyperboloid	hyperboloid		179091.4005178885	5	16	42	0.5	1000	10
poincare	euclidean	1.2061633543321102e-05	191941.91978256722	5	16	43	0.1	1000	2
poincare	poincare	1.729127342227382	186207.71271834293	5	16	43	0.1	1000	2
hyperboloid	euclidean	1.753175270139373e+18	9.264717545720096e+17	5	16	43	0.1	1000	2
hyperboloid	hyperboloid	0.00011912164654994668	205795.41400285973	5	16	43	0.1	1000	2
poincare	euclidean	2.0718983879470057e-05	215694.6602480036	5	16	43	0.1	1000	5
poincare	poincare	1.5883202531542606	209526.18624526306	5	16	43	0.1	1000	5
hyperboloid	euclidean	3.2044204420657696e+20	8.31052090554676e+17	5	16	43	0.1	1000	5
hyperboloid	hyperboloid	0.0014325347675726492	181477.9726867985	5	16	43	0.1	1000	5
poincare	euclidean	6.211908126462378e-06	200867.85847185418	5	16	43	0.1	1000	10
poincare	poincare	1.6846874203202222	194774.59110433198	5	16	43	0.1	1000	10
hyperboloid	euclidean	1.4427798976414763e+21	1.3088979498087604e+19	5	16	43	0.1	1000	10
hyperboloid	hyperboloid	0.0012084633978565037	203842.22352458388	5	16	43	0.1	1000	10
poincare	euclidean		227833.97075416843	5	16	43	0.5	1000	2
poincare	poincare		215931.18831704571	5	16	43	0.5	1000	2
hyperboloid	euclidean		1.4411108560746193e+30	5	16	43	0.5	1000	2
hyperboloid	hyperboloid		164250.0445530303	5	16	43	0.5	1000	2
poincare	euclidean		220116.16750587997	5	16	43	0.5	1000	5
poincare	poincare		209035.27445370905	5	16	43	0.5	1000	5
hyperboloid	euclidean		2.7608450818920243e+30	5	16	43	0.5	1000	5
hyperboloid	hyperboloid		176389.62642353057	5	16	43	0.5	1000	5
poincare	euclidean		196095.02052091088	5	16	43	0.5	1000	10
poincare	poincare		185552.5933957108	5	16	43	0.5	1000	10
hyperboloid	euclidean		4.8644810167532365e+30	5	16	43	0.5	1000	10
hyperboloid	hyperboloid		198861.1567247615	5	16	43	0.5	1000	10
poincare	euclidean	2.9351412588869913e-05	224298.084584503	5	16	44	0.1	1000	2
poincare	poincare	1.9003465863273794	217956.84412680977	5	16	44	0.1	1000	2
hyperboloid	euclidean	5.541385799168165e+18	7.94216587129694e+17	5	16	44	0.1	1000	2
hyperboloid	hyperboloid	7.164508471788242e-06	172278.82370476707	5	16	44	0.1	1000	2
poincare	euclidean	2.2862256409905965e-05	212730.13274110152	5	16	44	0.1	1000	5
poincare	poincare	1.6523227879903322	206503.66779881326	5	16	44	0.1	1000	5
hyperboloid	euclidean	3.9220308161060997e+18	2.8809047956475295e+18	5	16	44	0.1	1000	5
hyperboloid	hyperboloid	2.6923582272441278e-05	187623.95950149593	5	16	44	0.1	1000	5
poincare	euclidean	1.2994136650001703e-05	246063.79168420113	5	16	44	0.1	1000	10
poincare	poincare	1.8162587259228677	238985.7981407165	5	16	44	0.1	1000	10
hyperboloid	euclidean	6.756033901273536e+17	4.043589406214809e+17	5	16	44	0.1	1000	10
hyperboloid	hyperboloid	7.60302749395453e-07	163760.62439398354	5	16	44	0.1	1000	10
poincare	euclidean		219871.25506729016	5	16	44	0.5	1000	2
poincare	poincare		208438.11838049986	5	16	44	0.5	1000	2
hyperboloid	euclidean		2.5674374882855192e+29	5	16	44	0.5	1000	2
hyperboloid	hyperboloid		168461.5209635202	5	16	44	0.5	1000	2
poincare	euclidean		217616.73900637642	5	16	44	0.5	1000	5
poincare	poincare		206216.9476242425	5	16	44	0.5	1000	5
hyperboloid	euclidean		1.2167243599090324e+31	5	16	44	0.5	1000	5
hyperboloid	hyperboloid		173100.5386703294	5	16	44	0.5	1000	5
poincare	euclidean		210521.56259988897	5	16	44	0.5	1000	10
poincare	poincare		199335.86322046205	5	16	44	0.5	1000	10
hyperboloid	euclidean		4.3750319566978853e+30	5	16	44	0.5	1000	10
hyperboloid	hyperboloid		178568.50183023245	5	16	44	0.5	1000	10
poincare	euclidean		217253.1268578434	5	32	42	0.1	1000	2
poincare	poincare		206155.57752980493	5	32	42	0.1	1000	2
hyperboloid	euclidean		1.4290788798085326e+27	5	32	42	0.1	1000	2
hyperboloid	hyperboloid		183581.01715682782	5	32	42	0.1	1000	2
poincare	euclidean		199002.62671862068	5	32	42	0.1	1000	5
poincare	poincare		188623.5074110245	5	32	42	0.1	1000	5
hyperboloid	euclidean		2.1370464026177779e+27	5	32	42	0.1	1000	5
hyperboloid	hyperboloid		200512.1125020057	5	32	42	0.1	1000	5
poincare	euclidean		184428.39832049116	5	32	42	0.1	1000	10
poincare	poincare		174379.88008963512	5	32	42	0.1	1000	10
hyperboloid	euclidean		2.2772076763343694e+30	5	32	42	0.1	1000	10
hyperboloid	hyperboloid		196664.10874356492	5	32	42	0.1	1000	10
poincare	euclidean		238264.75039129675	5	32	42	0.5	1000	2
poincare	poincare		225304.3626047611	5	32	42	0.5	1000	2
hyperboloid	euclidean		1.739016242478533e+29	5	32	42	0.5	1000	2
hyperboloid	hyperboloid		152473.80423720757	5	32	42	0.5	1000	2
poincare	euclidean		199447.00052366444	5	32	42	0.5	1000	5
poincare	poincare		188422.13892301676	5	32	42	0.5	1000	5
hyperboloid	euclidean		6.25463540161566e+28	5	32	42	0.5	1000	5
hyperboloid	hyperboloid		196558.54480950802	5	32	42	0.5	1000	5
poincare	euclidean		217447.74790967567	5	32	42	0.5	1000	10
poincare	poincare		204950.15849200485	5	32	42	0.5	1000	10
hyperboloid	euclidean		1.0469680100002991e+31	5	32	42	0.5	1000	10
hyperboloid	hyperboloid		156303.02348133246	5	32	42	0.5	1000	10
poincare	euclidean		225552.76873952214	5	32	43	0.1	1000	2
poincare	poincare		213507.63125439308	5	32	43	0.1	1000	2
hyperboloid	euclidean		7.857105217429628e+29	5	32	43	0.1	1000	2
hyperboloid	hyperboloid		165779.5005697878	5	32	43	0.1	1000	2
poincare	euclidean		225817.2677619045	5	32	43	0.1	1000	5
poincare	poincare		214318.07635021152	5	32	43	0.1	1000	5
hyperboloid	euclidean		2.2894379590277744e+30	5	32	43	0.1	1000	5
hyperboloid	hyperboloid		177039.30593593992	5	32	43	0.1	1000	5
poincare	euclidean		226836.62638242517	5	32	43	0.1	1000	10
poincare	poincare		215236.83465125426	5	32	43	0.1	1000	10
hyperboloid	euclidean		3.305374977714328e+29	5	32	43	0.1	1000	10
hyperboloid	hyperboloid		174229.45538393513	5	32	43	0.1	1000	10
poincare	euclidean		174004.00976337132	5	32	43	0.5	1000	2
poincare	poincare		161416.55353171515	5	32	43	0.5	1000	2
hyperboloid	euclidean		2.2570150092908107e+32	5	32	43	0.5	1000	2
hyperboloid	hyperboloid		138165.52081812653	5	32	43	0.5	1000	2
poincare	euclidean		207440.56508568057	5	32	43	0.5	1000	5
poincare	poincare		195257.63973428815	5	32	43	0.5	1000	5
hyperboloid	euclidean		4.168172499524955e+31	5	32	43	0.5	1000	5
hyperboloid	hyperboloid		169481.41647016417	5	32	43	0.5	1000	5
