score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.8013468013468014,hdt,8,4,1481,0.08765210723090433,5
0.7878787878787878,kdt,8,4,1481,0.08765210723090433,5
0.8552188552188552,edt,8,4,1481,0.08765210723090433,5
0.8678678678678678,hdt,6,15,1662,0.050183402345083616,5
0.8708708708708709,kdt,6,15,1662,0.050183402345083616,5
0.8678678678678678,edt,6,15,1662,0.050183402345083616,5
0.961352657004831,hdt,7,16,2068,0.01758338283670763,6
0.9685990338164251,kdt,7,16,2068,0.01758338283670763,6
0.9371980676328503,edt,7,16,2068,0.01758338283670763,6
0.9875776397515528,hdt,2,7,804,0.11360965433105208,9
0.9937888198757764,kdt,2,7,804,0.11360965433105208,9
0.9875776397515528,edt,2,7,804,0.11360965433105208,9
0.4342105263157895,hdt,7,3,2657,0.13174558615844895,1
0.4342105263157895,kdt,7,3,2657,0.13174558615844895,1
0.4849624060150376,edt,7,3,2657,0.13174558615844895,1
0.8247422680412371,hdt,7,8,2422,0.13844979751138592,8
0.8412371134020619,kdt,7,8,2422,0.13844979751138592,8
0.8082474226804124,edt,7,8,2422,0.13844979751138592,8
0.4925925925925926,hdt,5,3,2697,0.4194747591826797,1
0.49444444444444446,kdt,5,3,2697,0.4194747591826797,1
0.5314814814814814,edt,5,3,2697,0.4194747591826797,1
0.6301969365426696,hdt,9,9,2282,0.41047969306826515,8
0.6280087527352297,kdt,9,9,2282,0.41047969306826515,8
0.5251641137855579,edt,9,9,2282,0.41047969306826515,8
0.4953271028037383,hdt,9,9,1070,0.4443514000621413,6
0.5046728971962616,kdt,9,9,1070,0.4443514000621413,6
0.4672897196261682,edt,9,9,1070,0.4443514000621413,6
0.925531914893617,hdt,3,6,468,0.16486715848818934,4
0.925531914893617,kdt,3,6,468,0.16486715848818934,4
0.9574468085106383,edt,3,6,468,0.16486715848818934,4
0.968421052631579,hdt,2,10,471,0.24731797020779472,9
0.9894736842105263,kdt,2,10,471,0.24731797020779472,9
0.9368421052631579,edt,2,10,471,0.24731797020779472,9
0.5945945945945946,hdt,8,16,1294,0.02147013178729218,2
0.5945945945945946,kdt,8,16,1294,0.02147013178729218,2
0.5907335907335908,edt,8,16,1294,0.02147013178729218,2
0.8197674418604651,hdt,5,4,2580,0.25650886055176403,9
0.8410852713178295,kdt,5,4,2580,0.25650886055176403,9
0.8624031007751938,edt,5,4,2580,0.25650886055176403,9
0.9977628635346756,hdt,3,6,2231,0.025419113168685448,8
